label,text
phishing,"Urgent! Your bank account has been suspended. Click here immediately to verify your identity or lose access permanently."
phishing,"Dear user your package could not be delivered click this link now to reschedule and pay a small fee"
phishing,"You have won a prize of $5000. Send your bank details now to claim before the offer expires today"
phishing,"Your Netflix payment failed. Update your card details within 24 hours or your account will be closed"
phishing,"This is IT support. We detected unusual activity on your account. Reply with your password to secure it immediately"
phishing,"Congratulations you have been selected for a special government grant. Provide your SSN to receive the funds"
phishing,"Security alert someone tried to log into your account from a new device click here to confirm it was not you"
phishing,"Final notice your subscription will be cancelled today unless you verify your payment information now"
phishing,"Hi this is your CEO I need you to buy gift cards urgently and send me the codes, keep this confidential"
phishing,"Your Apple ID has been locked for security reasons. Verify now to avoid permanent suspension of your account"
phishing,"We noticed suspicious sign in attempt. Click the secure link below within one hour to restore access"
phishing,"Act now limited time offer your tax refund of 850 dollars is ready click to claim before it expires"
legit,"Hi team just a reminder that the project meeting is scheduled for 3pm tomorrow in the main conference room"
legit,"Thanks for your email I will review the attached document and get back to you by Friday"
legit,"Please find attached the invoice for last month's services. Let me know if you have any questions"
legit,"Happy birthday! Hope you have a wonderful day surrounded by family and friends"
legit,"The quarterly report has been uploaded to the shared drive for everyone to review before the meeting"
legit,"Can you send me the updated version of the presentation when you get a chance"
legit,"Reminder your dentist appointment is confirmed for next Tuesday at 10am"
legit,"Thank you for your order. Your package has shipped and will arrive within 5 to 7 business days"
legit,"Looking forward to catching up over coffee this weekend, let me know what time works for you"
legit,"The library book you reserved is now available for pickup at the front desk"
legit,"Our team completed the sprint tasks on time, great work everyone this week"
legit,"Please review the attached contract and let me know if you need any changes before we sign"
